open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646092800000,2920.05,2954.53,2919.03,2952.32,41587.963,1646093099999,122352436.97868,36257,25182.660,74087336.66197,0
1646093100000,2952.19,2953.61,2932.04,2948.61,15493.032,1646093399999,45595868.32964,18792,6881.385,20256209.61357,0
1646093400000,2948.61,2974.44,2947.70,2957.65,30577.708,1646093699999,90580428.93089,36292,15258.665,45207613.30849,0
1646093700000,2957.65,2960.00,2932.46,2938.68,17610.770,1646093999999,51865279.98469,19919,7073.918,20825304.56817,0
1646094000000,2938.68,2944.90,2935.00,2940.21,10522.338,1646094299999,30938031.07973,12263,6015.376,17687877.81623,0
1646094300000,2940.21,2950.00,2934.79,2947.04,11583.134,1646094599999,34076666.75637,13674,7842.642,23069093.44952,0
1646094600000,2947.04,2958.75,2941.46,2957.03,14889.252,1646094899999,43942650.64700,14753,7430.428,21931254.87114,0
1646094900000,2957.02,2961.77,2944.36,2948.74,10710.945,1646095199999,31624180.14343,13241,4751.291,14038433.72276,0
1646095200000,2948.74,2955.23,2947.53,2949.89,4642.457,1646095499999,13698651.13057,7835,1973.087,5822352.96220,0
1646095500000,2949.88,2959.87,2934.62,2938.21,19150.632,1646095799999,56407174.25971,20182,9077.916,26743032.55029,0
1646095800000,2938.22,2948.24,2937.71,2945.18,5276.383,1646096099999,15523978.32942,8903,3043.491,8955414.34639,0
1646096100000,2945.18,2951.30,2944.72,2947.44,4486.361,1646096399999,13226355.51738,7460,2216.838,6535881.44550,0
1646096400000,2947.45,2950.00,2941.68,2944.04,6084.953,1646096699999,17923568.69149,7915,2403.945,7082112.86993,0
1646096700000,2943.97,2945.14,2936.00,2938.29,6886.149,1646096999999,20251563.61701,8195,2453.596,7215074.67133,0
1646097000000,2938.29,2938.29,2921.35,2925.07,12207.481,1646097299999,35775747.28851,14658,4754.838,13936439.88677,0
1646097300000,2925.07,2931.01,2916.00,2930.00,13342.291,1646097599999,39005840.24857,14896,6462.052,18897644.41285,0
1646097600000,2930.01,2936.97,2929.58,2931.05,6948.602,1646097899999,20381071.32464,7714,3407.695,9995675.41563,0
1646097900000,2931.01,2931.01,2923.10,2925.59,4017.409,1646098199999,11759469.67492,6136,1725.244,5049489.51608,0
1646098200000,2925.60,2931.00,2922.74,2925.19,5439.193,1646098499999,15918692.70856,8614,2764.814,8092779.72795,0
1646098500000,2925.20,2927.10,2921.60,2922.67,3923.977,1646098799999,11472581.93096,6996,1500.600,4387526.77160,0
1646098800000,2922.67,2929.98,2917.66,2926.91,5275.280,1646099099999,15431077.32292,8131,2835.626,8295345.88522,0
1646099100000,2926.91,2927.66,2922.10,2925.98,3453.473,1646099399999,10102818.89504,5130,2055.420,6013511.71021,0
1646099400000,2925.99,2928.79,2921.02,2924.07,3540.905,1646099699999,10358516.70908,5518,1790.056,5237064.36376,0
1646099700000,2924.07,2925.00,2912.99,2917.25,7196.697,1646099999999,20990534.15234,8333,3367.676,9822646.63004,0
1646100000000,2917.26,2921.60,2916.32,2919.60,4615.825,1646100299999,13476063.53092,7450,2231.113,6514069.73320,0
1646100300000,2919.61,2919.61,2910.68,2911.50,7510.254,1646100599999,21879884.65173,9485,3159.172,9203453.17303,0
1646100600000,2911.50,2915.85,2907.95,2910.10,9555.830,1646100899999,27825985.59336,11864,4297.268,12515978.45205,0
1646100900000,2910.10,2921.00,2905.00,2917.93,14541.563,1646101199999,42367945.10837,14592,6903.506,20115069.95974,0
1646101200000,2917.93,2920.89,2915.95,2918.49,4317.951,1646101499999,12602552.87730,6578,2022.787,5904492.79060,0
1646101500000,2918.50,2919.98,2906.37,2910.02,5256.886,1646101799999,15307072.66785,7437,1730.539,5038427.04874,0
1646101800000,2910.01,2916.89,2904.61,2914.36,7988.366,1646102099999,23254092.73727,9771,4148.585,12076579.50509,0
1646102100000,2914.36,2919.78,2913.50,2914.31,3818.935,1646102399999,11137664.86517,6674,1984.444,5787684.41450,0
1646102400000,2914.32,2918.58,2911.64,2916.97,4674.092,1646102699999,13631571.65209,6218,2445.978,7133373.62506,0
1646102700000,2916.98,2917.92,2913.26,2915.50,2041.992,1646102999999,5954110.19898,4685,1002.468,2923143.77583,0
1646103000000,2915.51,2916.29,2910.60,2913.93,2546.027,1646103299999,7418506.81772,4921,1130.652,3294545.34796,0
1646103300000,2913.93,2918.71,2912.44,2917.35,3824.390,1646103599999,11154729.10338,6041,2440.996,7119552.83231,0
1646103600000,2917.23,2918.55,2909.06,2911.14,3977.924,1646103899999,11586394.88214,5968,1496.518,4359713.45161,0
1646103900000,2911.13,2912.33,2906.25,2906.55,3810.956,1646104199999,11087152.94348,5960,1297.088,3773975.66136,0
1646104200000,2906.55,2910.16,2901.34,2902.75,4286.770,1646104499999,12455223.64013,6688,1917.093,5570996.59880,0
1646104500000,2902.75,2904.45,2896.01,2901.99,8202.487,1646104799999,23789641.52559,11447,3680.875,10677284.49953,0
