open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1667260800000,1572.00,1573.18,1569.00,1572.04,20068.626,1667261099999,31522710.85894,14416,9578.585,15047066.87133,0
1667261100000,1572.04,1572.11,1568.23,1570.45,12300.079,1667261399999,19306810.85059,9903,5149.188,8082401.49378,0
1667261400000,1570.45,1576.00,1570.00,1573.18,25807.715,1667261699999,40609619.73478,13069,14500.759,22817255.66826,0
1667261700000,1573.18,1574.97,1571.50,1572.21,11140.794,1667261999999,17528664.88683,7904,5011.446,7885347.02835,0
1667262000000,1572.21,1574.23,1571.04,1571.05,6959.155,1667262299999,10943513.50391,6359,3178.661,4999067.47045,0
1667262300000,1571.04,1571.60,1569.34,1570.00,18267.907,1667262599999,28687882.95243,9852,8559.392,13440941.47668,0
1667262600000,1570.01,1572.44,1568.00,1569.77,10303.399,1667262899999,16171741.65430,9218,5480.907,8602823.82456,0
1667262900000,1569.78,1574.50,1569.75,1573.52,10509.094,1667263199999,16521899.44544,9374,6237.291,9805654.15223,0
1667263200000,1573.52,1573.89,1571.85,1572.12,7552.579,1667263499999,11880006.34931,6877,3268.476,5140784.49150,0
1667263500000,1572.13,1572.99,1570.10,1570.50,7845.823,1667263799999,12330809.03897,6509,2976.398,4678549.28314,0
1667263800000,1570.41,1571.00,1569.13,1570.29,6428.486,1667264099999,10094118.29959,5654,3050.062,4789551.80682,0
1667264100000,1570.29,1570.29,1569.00,1569.41,5650.488,1667264399999,8868033.01477,5100,2483.659,3897818.78861,0
1667264400000,1569.42,1571.00,1569.00,1570.20,6771.293,1667264699999,10629204.34518,6052,3768.436,5915616.00544,0
1667264700000,1570.20,1571.02,1569.34,1570.48,4710.435,1667264999999,7396522.21615,5287,2382.626,3741210.59141,0
1667265000000,1570.48,1574.36,1570.37,1572.99,10593.580,1667265299999,16662542.90214,8006,7766.092,12215122.68738,0
1667265300000,1572.99,1573.23,1570.79,1572.37,4519.123,1667265599999,7103754.77833,5329,2401.655,3775180.52061,0
1667265600000,1572.37,1579.83,1572.37,1579.53,34615.710,1667265899999,54602823.69991,20498,22984.934,36253381.97833,0
1667265900000,1579.53,1581.93,1578.62,1580.89,28726.582,1667266199999,45401227.57452,17047,15689.134,24797061.74126,0
1667266200000,1580.88,1584.09,1579.76,1581.83,29940.693,1667266499999,47367625.83625,17282,17695.898,27998286.79205,0
1667266500000,1581.83,1582.89,1580.10,1581.63,11488.365,1667266799999,18171133.92785,9425,4621.076,7309270.21457,0
1667266800000,1581.63,1581.96,1578.91,1579.77,9922.789,1667267099999,15683190.18142,7429,2708.367,4280768.56671,0
1667267100000,1579.77,1580.41,1578.26,1579.15,11284.945,1667267399999,17822404.72824,8888,4645.799,7337614.25614,0
1667267400000,1579.15,1580.51,1577.42,1579.67,11553.470,1667267699999,18239724.45671,7942,5553.750,8767552.99099,0
1667267700000,1579.67,1580.36,1578.00,1580.36,6920.063,1667267999999,10928081.29567,5135,4058.611,6409896.57493,0
1667268000000,1580.35,1582.63,1578.32,1578.33,14913.675,1667268299999,23564412.85988,8778,5364.057,8478244.45053,0
1667268300000,1578.33,1581.38,1578.32,1580.14,6043.654,1667268599999,9551474.74163,5167,3560.680,5626983.37124,0
1667268600000,1580.13,1581.00,1579.00,1580.82,7664.005,1667268899999,12108372.34969,6061,2989.922,4723712.74805,0
1667268900000,1580.82,1581.00,1577.56,1578.92,7748.541,1667269199999,12235618.76378,6344,2479.320,3914888.59465,0
1667269200000,1578.92,1580.23,1578.72,1579.68,6240.079,1667269499999,9856298.15875,4847,2477.085,3912581.80137,0
1667269500000,1579.67,1582.99,1579.34,1582.00,11566.956,1667269799999,18293870.03707,8083,6944.810,10983566.84700,0
1667269800000,1582.01,1588.42,1581.52,1585.81,32683.879,1667270099999,51830629.67207,19167,20092.237,31864625.25161,0
1667270100000,1585.81,1591.99,1585.81,1587.76,43915.456,1667270399999,69816718.00830,25541,25664.138,40796821.00025,0
1667270400000,1587.76,1589.46,1586.84,1588.42,10148.305,1667270699999,16116576.70143,8532,5240.167,8322292.78380,0
1667270700000,1588.42,1595.24,1588.04,1594.21,29584.992,1667270999999,47106165.48800,17102,16217.471,25818430.80570,0
1667271000000,1594.20,1599.61,1593.57,1596.63,35272.852,1667271299999,56333139.56902,24887,19734.784,31517166.16166,0
1667271300000,1596.63,1600.00,1595.70,1597.60,18601.415,1667271599999,29718281.40610,14420,8134.736,12998381.45254,0
1667271600000,1597.60,1604.50,1596.59,1598.24,41709.583,1667271899999,66765147.87156,27783,26330.084,42149395.64645,0
1667271900000,1598.23,1598.24,1593.39,1594.14,26411.264,1667272199999,42147993.59425,16934,10473.958,16714800.24671,0
1667272200000,1594.13,1594.14,1587.50,1588.61,37963.724,1667272499999,60395051.03177,21269,14218.699,22622134.22195,0
1667272500000,1588.60,1591.26,1585.33,1588.57,26629.044,1667272799999,42289882.14625,16977,11381.660,18078463.64187,0
1667272800000,1588.57,1589.99,1586.84,1589.51,13250.962,1667273099999,21052337.05385,9483,7599.337,12074122.12185,0
1667273100000,1589.51,1589.75,1586.89,1587.71,10813.199,1667273399999,17172114.06324,8045,4786.138,7600647.76026,0
1667273400000,1587.71,1588.75,1583.22,1584.82,21091.466,1667273699999,33439967.56608,14539,8562.171,13576482.79787,0
1667273700000,1584.82,1586.09,1583.06,1583.31,10405.200,1667273999999,16487417.01836,7606,4506.045,7140654.84272,0
1667274000000,1583.31,1585.33,1583.30,1585.00,8386.008,1667274299999,13287123.59755,6098,5122.318,8115843.60465,0
1667274300000,1585.00,1585.39,1584.37,1585.20,5631.173,1667274599999,8924645.87418,5052,2576.787,4083985.71603,0
1667274600000,1585.20,1588.60,1584.07,1588.59,16831.703,1667274899999,26708684.82130,8938,11775.937,18686045.88284,0
1667274900000,1588.59,1588.60,1585.12,1585.84,8246.722,1667275199999,13085745.59499,5960,2878.372,4567678.78077,0
1667275200000,1585.84,1587.00,1585.60,1586.62,4077.686,1667275499999,6468644.14233,4712,2180.581,3459213.34794,0
1667275500000,1586.63,1587.00,1581.43,1583.00,15582.607,1667275799999,24671793.94719,9790,4389.609,6949561.01853,0
1667275800000,1583.00,1583.29,1578.95,1582.54,19711.158,1667276099999,31167535.25550,13024,7398.468,11699875.22319,0
1667276100000,1582.55,1584.25,1582.00,1583.71,8110.170,1667276399999,12838630.94078,7513,4785.131,7575095.47816,0
1667276400000,1583.71,1588.82,1583.41,1588.25,23922.747,1667276699999,37955589.96376,14048,17933.431,28453630.56204,0
1667276700000,1588.25,1589.78,1585.40,1585.90,16881.627,1667276999999,26800665.53901,10543,8058.151,12795451.75932,0
1667277000000,1585.89,1587.80,1583.95,1587.54,12496.287,1667277299999,19814694.44140,9909,5679.084,9007573.08329,0
1667277300000,1587.55,1593.82,1587.23,1591.02,24781.040,1667277599999,39426427.83985,15259,15035.830,23919226.29585,0
1667277600000,1591.03,1592.23,1589.00,1590.16,12142.575,1667277899999,19320365.26055,8175,4744.938,7549550.91469,0
1667277900000,1590.17,1592.24,1588.00,1588.00,9422.439,1667278199999,14981550.81488,8145,4081.437,6491128.14573,0
1667278200000,1588.01,1589.78,1587.80,1589.42,6165.021,1667278499999,9794423.62202,4665,2502.708,3976268.72184,0
1667278500000,1589.43,1589.65,1588.79,1588.96,3038.614,1667278799999,4828797.11042,3184,1444.343,2295311.39267,0
1667278800000,1588.97,1594.39,1588.45,1593.42,24918.397,1667279099999,39651389.92158,10910,13721.565,21841908.88497,0
1667279100000,1593.42,1595.91,1593.00,1595.00,18300.895,1667279399999,29181167.26915,10817,9610.430,15324377.28678,0
