open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704067200000,2283.84,2289.92,2282.97,2289.92,7769.050,1704067499999,17766016.65537,8790,4907.769,11224321.39362,0
1704067500000,2289.92,2294.00,2288.77,2292.56,10585.061,1704067799999,24257865.34188,10178,5811.185,13317062.70079,0
1704067800000,2292.61,2299.16,2292.61,2298.49,8991.574,1704068099999,20648864.73839,9701,5621.989,12910517.58091,0
1704068100000,2298.50,2298.93,2294.06,2294.06,9326.129,1704068399999,21422100.49913,8046,3312.892,7611005.72822,0
1704068400000,2294.06,2297.99,2294.06,2296.59,5193.591,1704068699999,11922969.81469,5745,3301.870,7579607.72541,0
1704068700000,2296.60,2298.13,2290.82,2292.83,8641.206,1704068999999,19817497.12852,7508,3701.236,8487867.61851,0
1704069000000,2292.83,2292.83,2290.08,2291.72,6205.758,1704069299999,14218151.96836,6293,3499.072,8016698.49305,0
1704069300000,2291.59,2296.20,2291.00,2296.20,4456.060,1704069599999,10220581.89670,4573,2811.821,6449498.89411,0
1704069600000,2296.19,2296.59,2292.90,2295.19,4228.130,1704069899999,9702360.73354,3859,1951.028,4476710.41360,0
1704069900000,2295.20,2296.00,2294.13,2294.45,2011.490,1704070199999,4616681.49284,3002,872.489,2002486.57610,0
1704070200000,2294.45,2297.35,2294.44,2297.34,2098.504,1704070499999,4817890.79172,2871,1199.531,2754074.39637,0
1704070500000,2297.34,2299.00,2296.76,2297.41,6086.630,1704070799999,13988650.69541,4629,3300.375,7585340.26753,0
1704070800000,2297.41,2297.63,2294.77,2295.72,4456.763,1704071099999,10233017.22175,4327,1995.954,4582697.14234,0
1704071100000,2295.70,2297.02,2295.38,2296.56,1621.346,1704071399999,3723100.95333,2579,947.739,2176195.42852,0
1704071400000,2296.55,2299.49,2295.68,2298.53,5547.457,1704071699999,12745860.38379,3702,3663.886,8418642.62811,0
1704071700000,2298.54,2301.37,2298.53,2300.66,5577.560,1704071999999,12829119.26848,5281,2930.012,6739078.26398,0
1704072000000,2300.66,2301.41,2299.55,2299.67,2964.226,1704072299999,6818715.62372,3107,1249.395,2873679.63267,0
1704072300000,2299.68,2302.66,2299.67,2301.04,4235.448,1704072599999,9747955.21108,4640,2709.269,6235485.15481,0
1704072600000,2301.05,2304.51,2301.05,2302.77,4260.403,1704072899999,9812180.93857,4901,2702.543,6224117.97232,0
