open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754006400000,3696.57,3697.00,3687.58,3688.03,20742.339,1754006699999,76587887.26716,26622,11137.406,41122964.34938,0
1754006700000,3688.03,3693.44,3683.56,3683.57,16129.457,1754006999999,59519812.04387,24555,7011.451,25875732.08086,0
1754007000000,3683.57,3686.39,3655.76,3656.88,143111.252,1754007299999,524955148.58298,109658,45269.463,166039648.52241,0
1754007300000,3656.89,3691.36,3655.00,3690.01,70247.148,1754007599999,257948997.40716,74079,42230.554,155117106.82059,0
1754007600000,3690.00,3698.08,3688.00,3695.59,57627.652,1754007899999,212875882.45762,57019,35646.011,131680385.94348,0
1754007900000,3695.59,3695.60,3682.66,3688.71,28841.905,1754008199999,106372677.98375,33603,11346.919,41850940.20643,0
1754008200000,3688.71,3690.61,3673.90,3674.70,24882.581,1754008499999,91590237.39278,32317,9177.799,33787339.64240,0
1754008500000,3674.70,3687.72,3672.28,3687.72,23406.379,1754008799999,86110078.83962,33799,13829.241,50885331.81191,0
1754008800000,3687.74,3688.16,3666.43,3667.53,35650.476,1754009099999,130978132.42015,41835,10599.594,38959232.87571,0
1754009100000,3667.52,3669.48,3651.00,3651.00,73610.210,1754009399999,269271585.60204,69540,23873.424,87316552.21474,0
1754009400000,3651.01,3660.00,3613.67,3658.36,214567.803,1754009699999,779837821.54718,161369,97304.773,353748114.91380,0
1754009700000,3658.35,3685.46,3658.00,3680.01,95680.496,1754009999999,351346042.63504,86581,61191.478,224684665.90173,0
1754010000000,3680.01,3694.46,3675.04,3677.06,55476.878,1754010299999,204412041.84020,63806,26478.253,97580195.14608,0
1754010300000,3677.07,3682.46,3660.66,3666.66,55169.473,1754010599999,202509520.19950,59843,22195.426,81491871.29619,0
1754010600000,3666.66,3666.67,3650.04,3655.00,54133.346,1754010899999,198098220.19139,65073,20537.898,75153125.25449,0
1754010900000,3655.00,3668.04,3651.83,3659.22,33626.573,1754011199999,123065126.66719,57850,16836.051,61629251.89010,0
