open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1740787200000,2236.59,2237.94,2230.30,2230.89,8224.758,1740787499999,18371201.57182,12382,3698.681,8260891.50374,0
1740787500000,2230.90,2234.47,2230.70,2231.76,3631.806,1740787799999,8107063.57135,9049,2028.040,4527409.28892,0
1740787800000,2231.72,2244.73,2231.00,2243.30,11304.421,1740788099999,25298978.64742,13962,7603.248,17018625.30178,0
1740788100000,2243.31,2245.90,2236.01,2236.28,15868.831,1740788399999,35566938.31520,19309,6533.450,14647101.38788,0
1740788400000,2236.29,2240.52,2234.62,2235.14,8894.823,1740788699999,19898445.75166,13672,5066.381,11336293.04105,0
1740788700000,2235.13,2236.31,2230.68,2232.48,3765.886,1740788999999,8409661.91169,11048,1633.286,3647486.21250,0
1740789000000,2232.50,2233.26,2228.77,2230.40,7404.735,1740789299999,16514607.48227,12932,3337.565,7444212.96737,0
1740789300000,2230.41,2235.52,2226.52,2226.80,11584.702,1740789599999,25838567.18709,14488,6522.650,14553079.54624,0
1740789600000,2226.80,2228.48,2222.55,2226.70,8668.454,1740789899999,19290063.68532,15112,4579.630,10190533.14190,0
1740789900000,2226.70,2229.88,2224.68,2225.68,4498.484,1740790199999,10021468.82080,10537,2568.181,5721717.73168,0
1740790200000,2225.68,2226.43,2218.47,2219.20,8905.673,1740790499999,19781130.89236,14542,4288.100,9523461.78260,0
1740790500000,2219.20,2220.20,2214.13,2214.91,16963.425,1740790799999,37603566.83594,20595,5794.956,12847045.74183,0
1740790800000,2214.91,2216.42,2211.79,2214.78,17695.505,1740791099999,39175875.30191,24306,6180.935,13684940.38774,0
1740791100000,2214.79,2218.92,2213.42,2215.33,6776.524,1740791399999,15022347.85198,14388,4005.224,8878674.05474,0
1740791400000,2215.33,2220.47,2215.33,2219.15,3478.106,1740791699999,7716426.94930,9807,2390.838,5304037.75131,0
1740791700000,2219.16,2224.12,2219.15,2223.97,3594.083,1740791999999,7983568.78112,9708,2348.577,5217173.27047,0
1740792000000,2223.98,2225.98,2221.00,2223.55,4383.778,1740792299999,9747865.20826,10385,2349.217,5223919.24622,0
1740792300000,2223.55,2223.87,2216.56,2220.31,4069.241,1740792599999,9029778.95874,11399,1207.394,2678996.94665,0
1740792600000,2220.31,2225.55,2218.38,2225.55,3462.038,1740792899999,7690812.54688,10278,2354.247,5230242.43788,0
1740792900000,2225.56,2227.72,2222.91,2227.57,4696.526,1740793199999,10451061.66697,10455,2682.994,5970379.38958,0
1740793200000,2227.51,2238.30,2226.59,2237.19,16764.245,1740793499999,37443058.80820,23288,10660.208,23808904.74367,0
1740793500000,2237.19,2241.56,2233.20,2241.29,15675.283,1740793799999,35091187.71527,22627,8011.950,17936088.42157,0
1740793800000,2241.28,2249.99,2240.70,2248.85,23809.092,1740794099999,53478667.90453,27824,10731.177,24103875.21822,0
1740794100000,2248.85,2263.00,2247.39,2252.10,32190.579,1740794399999,72611236.56153,39682,18615.046,41987953.05058,0
1740794400000,2252.10,2252.10,2240.89,2241.49,16169.934,1740794699999,36314649.93206,25414,5071.898,11386598.31212,0
1740794700000,2241.49,2242.40,2238.42,2242.09,11460.006,1740794999999,25675367.05935,16620,4681.463,10488026.95615,0
1740795000000,2242.09,2256.11,2241.62,2253.56,14735.897,1740795299999,33160155.05529,20810,8641.058,19438223.15318,0
1740795300000,2253.56,2258.00,2246.08,2249.72,11208.874,1740795599999,25228031.15400,18685,4677.740,10526842.27773,0
1740795600000,2249.70,2256.70,2249.70,2252.46,13163.370,1740795899999,29660447.43734,18498,7163.614,16142321.00975,0
1740795900000,2252.46,2262.00,2250.00,2258.89,16809.770,1740796199999,37951413.01053,23491,10230.744,23099714.42061,0
