open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1748736000000,2527.08,2527.98,2523.01,2523.50,11696.537,1748736299999,29538979.15839,13140,4234.757,10694925.51388,0
1748736300000,2523.51,2526.68,2523.50,2526.48,7750.356,1748736599999,19568201.04481,10231,5052.699,12756874.64840,0
1748736600000,2526.47,2526.65,2517.00,2519.73,38841.028,1748736899999,97880304.40329,29683,15715.721,39607160.46090,0
1748736900000,2519.72,2519.93,2515.06,2519.08,24648.130,1748737199999,62053822.80788,21498,9384.134,23627920.51424,0
1748737200000,2519.08,2522.20,2516.00,2520.40,13588.336,1748737499999,34233745.36187,12700,9115.523,22966970.16868,0
1748737500000,2520.41,2521.35,2514.28,2517.00,12025.212,1748737799999,30268570.61809,15230,5322.440,13397612.93649,0
1748737800000,2516.99,2520.55,2514.91,2517.90,11935.417,1748738099999,30043648.61872,17081,6218.088,15653527.73702,0
1748738100000,2517.90,2521.00,2517.53,2520.56,4304.265,1748738399999,10846850.46783,8213,2405.143,6061017.44247,0
1748738400000,2520.56,2521.07,2519.65,2521.07,3854.077,1748738699999,9713802.01713,6720,2227.074,5613257.79513,0
1748738700000,2521.06,2524.47,2521.06,2524.38,8868.131,1748738999999,22372596.02966,11168,6032.087,15218155.94214,0
1748739000000,2524.38,2525.27,2520.17,2520.28,6199.964,1748739299999,15647010.35151,8032,2823.968,7128402.37502,0
1748739300000,2520.28,2525.47,2520.01,2525.11,6555.570,1748739599999,16544408.58877,8258,4684.089,11821514.05396,0
1748739600000,2525.10,2525.37,2521.94,2521.94,6066.798,1748739899999,15309989.36418,6894,2844.461,7178396.88882,0
1748739900000,2521.95,2523.44,2517.49,2518.76,6395.272,1748740199999,16113151.62666,8915,2600.200,6551567.49464,0
1748740200000,2518.76,2528.41,2517.33,2527.25,8615.360,1748740499999,21741748.55881,10525,5611.649,14167420.99355,0
1748740500000,2527.25,2529.67,2520.86,2520.86,9356.260,1748740799999,23638594.23916,10178,4142.555,10469214.13477,0
1748740800000,2520.86,2523.40,2517.36,2519.96,13789.441,1748741099999,34757084.42302,14144,7254.226,18283656.28444,0
1748741100000,2519.95,2525.19,2519.55,2522.36,5115.362,1748741399999,12905406.55130,7532,2575.686,6497894.43161,0
1748741400000,2522.37,2525.00,2518.69,2518.91,4221.498,1748741699999,10645102.01332,7995,1998.275,5040126.76641,0
1748741700000,2518.90,2520.00,2516.30,2516.79,11466.643,1748741999999,28874627.25267,11919,5956.066,14999225.07989,0
1748742000000,2516.78,2518.85,2515.50,2516.06,6942.117,1748742299999,17473987.85486,9156,3035.359,7641173.37694,0
1748742300000,2516.06,2519.92,2515.83,2519.07,4725.858,1748742599999,11901073.95124,6927,3065.617,7719872.62102,0
1748742600000,2519.06,2519.74,2488.52,2498.37,99946.011,1748742899999,250175155.43137,54082,28076.932,70257053.60694,0
1748742900000,2498.37,2507.32,2497.39,2506.51,22794.296,1748743199999,57053362.47013,29757,13470.653,33718900.98807,0
1748743200000,2506.51,2506.63,2498.00,2499.22,22195.196,1748743499999,55543450.21916,25560,9423.484,23586578.18322,0
1748743500000,2499.21,2502.79,2493.29,2493.51,21922.807,1748743799999,54741882.53451,26480,10043.168,25079169.62560,0
1748743800000,2493.52,2500.00,2492.50,2496.09,13133.191,1748744099999,32791467.22291,17617,6926.874,17295912.75148,0
1748744100000,2496.10,2503.41,2495.92,2500.47,12484.903,1748744399999,31215840.48146,16614,6824.259,17060927.52689,0
1748744400000,2500.47,2506.14,2500.46,2503.80,8536.046,1748744699999,21375660.05279,11128,4590.719,11495202.23021,0
1748744700000,2503.80,2508.50,2503.79,2506.37,9539.479,1748744999999,23911966.77664,10435,5400.878,13537813.83848,0
