open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1672531200000,1196.10,1196.30,1195.42,1196.29,5554.378,1672531499999,6642216.25113,3209,2647.094,3165582.94577,0
1672531500000,1196.29,1196.68,1194.91,1195.34,5670.229,1672531799999,6781308.73951,2577,2268.829,2713628.86579,0
1672531800000,1195.34,1195.80,1194.31,1194.31,5466.371,1672532099999,6532478.95898,2493,2633.258,3146889.44688,0
1672532100000,1194.32,1196.12,1194.00,1196.00,9784.432,1672532399999,11691242.95487,4095,5975.963,7140740.92397,0
1672532400000,1196.00,1196.46,1195.73,1195.96,3434.419,1672532699999,4108119.29401,2259,1906.545,2280533.33564,0
1672532700000,1195.97,1196.85,1195.96,1196.65,4946.474,1672532999999,5918524.27861,2115,3462.576,4142934.59163,0
1672533000000,1196.66,1196.66,1193.66,1194.39,6977.117,1672533299999,8339551.51059,3318,2556.648,3055737.78684,0
1672533300000,1194.38,1194.46,1192.29,1194.00,21375.679,1672533599999,25512746.73627,7755,12014.198,14339467.75334,0
1672533600000,1194.00,1194.18,1192.72,1193.49,8124.580,1672533899999,9695911.77622,3838,4110.465,4905399.10688,0
1672533900000,1193.48,1195.00,1193.25,1194.52,5774.973,1672534199999,6896481.20541,3445,3830.350,4573968.05604,0
1672534200000,1194.51,1195.26,1193.95,1194.86,3977.294,1672534499999,4750710.14011,2567,2177.166,2600508.79273,0
1672534500000,1194.85,1195.04,1193.81,1193.89,3072.722,1672534799999,3670452.31862,2126,1242.408,1484225.22482,0
1672534800000,1193.89,1194.95,1193.76,1194.01,7162.330,1672535099999,8554321.25293,3327,3337.912,3986599.36285,0
1672535100000,1194.01,1195.99,1194.00,1195.72,6459.936,1672535399999,7720151.34258,2872,4920.389,5880429.54643,0
1672535400000,1195.73,1195.97,1195.34,1195.44,4018.615,1672535699999,4805124.59753,1930,2140.410,2559310.15782,0
1672535700000,1195.45,1195.67,1195.30,1195.50,2425.538,1672535999999,2899624.61127,1465,1314.633,1571611.74697,0
1672536000000,1195.50,1195.78,1195.05,1195.78,2281.707,1672536299999,2727314.55582,2198,1426.262,1704862.26756,0
1672536300000,1195.78,1195.78,1195.28,1195.71,2305.688,1672536599999,2756434.98218,1643,912.006,1090303.09747,0
1672536600000,1195.71,1195.71,1195.19,1195.23,2332.807,1672536899999,2788545.75192,1626,1146.973,1370995.46932,0
1672536900000,1195.24,1195.83,1194.61,1194.86,4660.981,1672537199999,5570298.78931,2251,2070.993,2475085.09397,0
1672537200000,1194.86,1195.48,1194.83,1194.90,3242.703,1672537499999,3875541.17242,1812,1608.944,1922931.03135,0
1672537500000,1194.89,1195.81,1194.89,1195.80,2578.688,1672537799999,3081876.99830,1589,1860.405,2223465.29737,0
1672537800000,1195.80,1195.94,1195.34,1195.66,2853.392,1672538099999,3411638.83853,1822,1606.285,1920481.74666,0
1672538100000,1195.65,1196.71,1195.65,1196.16,5260.180,1672538399999,6292380.48355,2767,3291.830,3937724.60796,0
1672538400000,1196.16,1196.16,1194.02,1194.23,9250.999,1672538699999,11053950.96367,3979,2538.616,3032495.58364,0
1672538700000,1194.23,1194.47,1194.10,1194.47,2424.794,1672538999999,2895894.25472,1648,1526.167,1822710.27260,0
1672539000000,1194.47,1195.57,1193.99,1195.35,4570.704,1672539299999,5459828.06284,2201,2492.760,2977934.28369,0
1672539300000,1195.35,1195.46,1194.95,1195.43,2133.856,1672539599999,2550432.52595,1317,1131.278,1352119.71745,0
1672539600000,1195.43,1195.76,1195.12,1195.44,2404.476,1672539899999,2874493.64791,1626,974.065,1164423.34096,0
1672539900000,1195.45,1196.33,1195.34,1196.15,2927.043,1672540199999,3500534.77031,1791,1934.186,2313129.68651,0
1672540200000,1196.15,1196.98,1195.98,1196.87,4926.330,1672540499999,5894371.72505,2614,2890.451,3458473.46507,0
1672540500000,1196.86,1196.92,1196.04,1196.04,2942.093,1672540799999,3520325.18263,1455,702.084,840022.06684,0
1672540800000,1196.04,1196.05,1195.38,1195.38,1986.919,1672541099999,2375793.94771,1201,630.253,753585.07638,0
1672541100000,1195.38,1195.91,1195.34,1195.85,2423.135,1672541399999,2897232.84193,1111,1471.314,1759159.24014,0
1672541400000,1195.86,1195.97,1195.51,1195.51,1942.153,1672541699999,2322448.26050,1095,1050.106,1255752.39614,0
1672541700000,1195.51,1195.62,1195.33,1195.62,1354.082,1672541999999,1618688.39861,801,710.244,849024.07033,0
1672542000000,1195.61,1195.61,1191.94,1193.01,31907.239,1672542299999,38072144.18847,12179,9419.984,11238642.22273,0
