open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1685577600000,1872.85,1876.74,1872.84,1874.99,16908.235,1685577899999,31699420.09785,11473,11831.740,22182350.20520,0
1685577900000,1874.99,1876.64,1872.51,1875.31,13645.005,1685578199999,25573672.09268,10069,6780.589,12709278.51521,0
1685578200000,1875.30,1889.61,1875.15,1884.23,74547.950,1685578499999,140458268.28924,46881,43294.118,81562985.20438,0
1685578500000,1884.24,1887.00,1883.65,1883.93,23267.063,1685578799999,43859765.26584,17942,12735.599,24007828.93659,0
1685578800000,1883.94,1889.00,1883.94,1885.83,19286.498,1685579099999,36382312.84022,15222,10404.084,19624480.27961,0
1685579100000,1885.84,1887.51,1885.03,1886.21,12025.431,1685579399999,22683311.42786,8712,6794.237,12815530.71712,0
1685579400000,1886.20,1888.50,1877.06,1877.06,30458.726,1685579699999,57322066.15892,22480,11354.359,21371811.61906,0
1685579700000,1877.05,1877.49,1870.51,1874.74,36169.949,1685579999999,67773703.67587,25801,16698.233,31290184.96479,0
1685580000000,1874.74,1875.96,1872.37,1874.02,14799.606,1685580299999,27741347.97581,11385,7132.528,13370932.98709,0
1685580300000,1874.02,1874.12,1868.24,1870.49,20677.030,1685580599999,38672411.03397,16481,7604.552,14224410.49155,0
1685580600000,1870.50,1873.30,1868.10,1868.40,12626.270,1685580899999,23612517.38428,11247,5665.433,10595971.29921,0
1685580900000,1868.41,1870.65,1867.20,1870.65,12002.898,1685581199999,22430318.37117,10933,7038.223,13153843.81757,0
1685581200000,1870.65,1874.60,1870.39,1874.60,15147.034,1685581499999,28361792.07842,12671,10152.087,19008977.24689,0
1685581500000,1874.60,1877.00,1873.95,1876.42,18759.032,1685581799999,35184099.77627,13818,11383.167,21349822.45283,0
1685581800000,1876.42,1879.05,1876.24,1877.05,11057.664,1685582099999,20763819.39746,10962,5769.714,10834892.84001,0
1685582100000,1877.05,1878.99,1874.80,1877.99,7809.178,1685582399999,14654289.86276,7881,3848.078,7221897.92813,0
1685582400000,1877.99,1878.81,1877.00,1877.77,6856.818,1685582699999,12876430.58794,5598,2182.672,4098619.80260,0
1685582700000,1877.77,1878.75,1875.74,1877.31,10670.458,1685582999999,20033693.83169,9072,4775.796,8967302.35333,0
1685583000000,1877.30,1877.86,1875.66,1876.11,5751.022,1685583299999,10792388.96192,6360,2453.012,4603404.48866,0
1685583300000,1876.11,1877.48,1874.82,1875.09,6982.228,1685583599999,13097852.50966,6340,3022.494,5669968.68457,0
1685583600000,1875.09,1876.63,1873.61,1873.97,6162.722,1685583899999,11554208.67488,5589,2382.498,4467168.16884,0
