open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1696118400000,1670.17,1670.92,1669.49,1670.92,2966.547,1696118699999,4954299.56927,3626,1624.349,2712844.43254,0
1696118700000,1670.91,1671.67,1670.59,1671.67,2483.707,1696118999999,4150744.85512,2888,1723.285,2879948.91743,0
1696119000000,1671.67,1672.57,1671.67,1672.31,3114.489,1696119299999,5207800.58306,2479,2515.832,4206721.53385,0
1696119300000,1672.31,1672.96,1672.19,1672.73,2501.424,1696119599999,4183752.77405,1968,1898.898,3175989.67138,0
1696119600000,1672.74,1672.74,1671.65,1672.52,1480.613,1696119899999,2475786.80412,1932,593.489,992396.99465,0
1696119900000,1672.52,1672.55,1672,1672.48,1380.733,1696120199999,2308877.06785,1697,868.129,1451691.41008,0
1696120200000,1672.49,1672.62,1670.97,1672.62,2231.693,1696120499999,3730394.99840,2761,1039.012,1736844.11986,0
1696120500000,1672.63,1672.73,1672.09,1672.28,1490.500,1696120799999,2492730.97599,1686,782.417,1308531.04690,0
1696120800000,1672.28,1674.13,1672.16,1673.07,2650.469,1696121099999,4435344.90502,3030,1838.881,3077107.52537,0
1696121100000,1673.07,1673.35,1672.45,1672.68,1091.104,1696121399999,1825316.26980,1261,513.504,859080.20223,0
1696121400000,1672.68,1673.30,1672.68,1673.09,882.187,1696121699999,1475886.30229,1261,553.050,925236.55205,0
1696121700000,1673.09,1673.52,1673,1673.23,592.061,1696121999999,990664.13503,835,428.497,716981.50465,0
1696122000000,1673.23,1673.65,1672.52,1672.58,2847.997,1696122299999,4765094.48032,2147,737.008,1233210.14928,0
1696122300000,1672.57,1672.65,1672.08,1672.08,1415.993,1696122599999,2367967.63302,1548,443.514,741675.15729,0
1696122600000,1672.08,1672.52,1672.05,1672.06,1380.750,1696122899999,2308845.97871,1462,652.409,1090931.52618,0
1696122900000,1672.06,1672.36,1672.06,1672.17,595.658,1696123199999,996048.14567,1194,259.122,433297.18733,0
1696123200000,1672.17,1673.30,1672.09,1673.15,1222.405,1696123499999,2044686.76587,1485,837.443,1400818.66196,0
1696123500000,1673.15,1677.90,1673.15,1675.66,15405.142,1696123799999,25816353.66934,10367,11870.886,19892781.42800,0
1696123800000,1675.67,1675.81,1674.96,1675.52,3260.822,1696124099999,5463351.76956,2794,2251.767,3772667.25939,0
1696124100000,1675.51,1675.52,1674.76,1675.13,1630.939,1696124399999,2731929.15826,1790,946.761,1585868.65050,0
1696124400000,1675.13,1675.59,1674.99,1675.32,1834.625,1696124699999,3073544.17090,2303,1041.050,1744007.34804,0
